logFC	logCPM	F	PValue	FDR	mrna
6.57018492192108	1.31926320971676	25.0522826229952	0.000286393134757034	0.00126542562705298	CUT4290
4.91100507628109	2.0614541544117	22.6992985184633	0.000286727504181658	0.00126628683753378	YGR291C
0.780973707949463	5.07826365777735	21.1012549555269	0.000287506802635355	0.00126911121435538	YJL102W
2.15348298501376	2.70242806496522	21.0717709880316	0.000289432543696064	0.00127699100911577	NUT0166
1.87363282897184	2.18951071661539	21.0550040757691	0.000290534146535467	0.00128122877636816	YPR007C
7.22470660879756	1.57401378804864	22.6120496510757	0.000291782705190541	0.00128611017627675	XUT_14R-219
-0.59557575609568	6.60554015693182	21.0196081758289	0.000292875226835311	0.0012898789281195	NUT0448
1.63465982316141	2.74439459429912	21.0189065762925	0.000292921844689693	0.0012898789281195	YDR241W
-0.667877054945475	5.40481152951929	21.001145349554	0.000294104778261497	0.00129446019709859	YNL137C
-0.625677448439385	5.69977450009659	20.9685297175104	0.000296291077487331	0.00130345105793845	NUT0021
1.37720588557593	5.6771393708751	21.2504833240643	0.000297508845366848	0.00130817448713365	NUT1333
-1.67726680316936	6.63902414122954	22.2130751382094	0.000298375847999356	0.00131135174241731	YML070W
3.48391695900484	1.99478139853184	20.9287370474303	0.000298983288327366	0.00131338570779511	NUT0265
6.35218273771575	1.13967980961978	22.4849303337318	0.000299331356203847	0.0013142788754018	YMR103C
-0.8385499131388	4.59461077066159	20.9210049152692	0.000299509602441123	0.00131442590148158	YKL032C
-0.909272766466076	4.48878737791059	20.8916980271398	0.000301513966746388	0.00132258300389237	YLR228C
-0.812016383321298	5.78007233451486	20.8761948305827	0.000302580369470668	0.00132661987194286	YPL249C-A
-0.776775840296219	6.59724962131655	20.8646224732121	0.000303379153422485	0.00132948007387846	SUT527
4.33846781356595	1.07445100805154	20.8582247748011	0.000303821774491556	0.00133077747823605	YNR001W-A
0.866392494585131	6.36626465110716	20.8426099479603	0.000304905133084753	0.00133428892837789	NUT1419
-0.668327776520041	9.07845867980228	20.8424342360082	0.000304917348720717	0.00133428892837789	NUT1350
-0.456544392907584	8.38694773899555	20.831252362842	0.000305695855884933	0.00133705123864894	YKR095W
-0.497351830210033	6.61335701277323	20.8256633472872	0.000306085814301002	0.00133811227436355	CUT2826
-0.745221746583216	7.83791168059362	20.8180914738316	0.000306615014865327	0.00133978071943078	SUT840
6.58379112222639	1.85849374134471	24.6318667118574	0.000307711830876756	0.00134392661104422	XUT_5F-207
2.66869371624623	4.20446079728504	21.2483047880504	0.000308793293841873	0.00134800149427125	YPR202W
-0.792109509429576	4.46176151873642	20.7751708092836	0.000309634291140266	0.00135102324053514	YPL253C
-0.638857601635984	6.53371932284657	20.7727884005185	0.000309802860859998	0.00135110949885148	YHR135C
0.997022144623799	4.9916670344322	20.749292144291	0.000311470907766452	0.00135773204153595	NUT0094
9.65103312419192	3.71481895883852	24.6696710287545	0.000312928985937476	0.00136343339362394	XUT_5R-76
7.43581272704595	1.62595844951059	28.1711370353125	0.000313977923332053	0.00136734750304798	CUT731
0.968174502754969	4.77876655552461	20.6919386687476	0.000315585177178232	0.00137368811542586	YOR349W
4.63102795883873	1.844560629523	20.6416319148605	0.000319244367847315	0.00138837264850206	NUT1493
-1.35835276362389	3.95069683055472	20.6413562886003	0.00031926454736479	0.00138837264850206	YLR040C
-1.64640073555024	4.78733106122824	20.9959321324781	0.00031983815085668	0.00138964708518603	CUT705
1.65245643795099	2.68859123533545	20.6331815407546	0.00031986370132586	0.00138964708518603	YLR128W
6.99698636712508	1.41677647505775	34.7095990165912	0.000320988758501624	0.00139386797092049	CUT4148
